longitude,latitude,cluster
-52.53648717151142,-11.00000540133616,0
-52.52615654574404,-11.00009523286457,0
-52.57304860357508,-11.000185064392982,0
-52.73537417541548,-11.000274895921391,1
-52.60143536655325,-11.000274895921391,0
-52.86580955466963,-11.000364727449806,0
-52.75459812249564,-11.000364727449806,1
-52.63494252665092,-11.000364727449806,0
-52.51268181648225,-11.000364727449806,0
-52.77768482529751,-11.000454558978218,1
-52.655334283600425,-11.000454558978218,0
-52.53388205718747,-11.000454558978218,0
-52.79924439211638,-11.00054439050663,1
-52.67491755679424,-11.00054439050663,0
-52.5536449934381,-11.00054439050663,0
-52.82772098662296,-11.000634222035044,0
-52.71884517418768,-11.000634222035044,0
-52.569994331609074,-11.000634222035044,0
-52.846136449947416,-11.000724053563454,0
-52.73770979515419,-11.000724053563454,1
-52.60287267100784,-11.000724053563454,0
-52.86383326104457,-11.000813885091866,0
-52.753340481097865,-11.000813885091866,1
-52.63242724385538,-11.000813885091866,0
-52.88144024061331,-11.000903716620275,0
-52.771666112893904,-11.000903716620275,1
-52.64895624508318,-11.000903716620275,0
-52.52409042059057,-11.000903716620275,0
-52.788195114121706,-11.00099354814869,1
-52.66422760491321,-11.00099354814869,0
-52.53855329666489,-11.00099354814869,0
-52.815953056401,-11.001083379677102,0
-52.70671791785207,-11.001083379677102,0
-52.55490263483586,-11.001083379677102,0
-52.83140407928785,-11.001173211205511,0
-52.72243843532416,-11.001173211205511,0
-52.56882652173972,-11.001173211205511,0
-52.84631611300424,-11.001263042733925,0
-52.73672164834166,-11.001263042733925,1
-52.60071671432596,-11.001263042733925,0
-52.86266545117521,-11.001352874262338,0
-52.75100486135916,-11.001352874262338,1
-52.6310797709292,-11.001352874262338,0
-52.87730799030636,-11.00144270579075,0
-52.76870167245631,-11.00144270579075,1
-52.64671045687288,-11.00144270579075,0
-52.51843103430061,-11.00144270579075,0
-52.78379336922952,-11.00153253731916,1
-52.66449709949845,-11.00153253731916,0
-52.535678687755706,-11.00153253731916,0
-52.81496490958847,-11.001622368847574,0
-52.70833488536348,-11.001622368847574,0
-52.55678909693252,-11.001622368847574,0
-52.83508717195274,-11.001712200375986,0
-52.72809782161411,-11.001712200375986,1
-52.5754740548422,-11.001712200375986,0
-52.85817387475461,-11.001802031904395,0
-52.74768109480792,-11.001802031904395,1
-52.6265881945086,-11.001802031904395,0
-52.87676900113589,-11.001891863432808,0
-52.76780335717219,-11.001891863432808,1
-52.644644331719405,-11.001891863432808,0
-52.51897002347109,-11.001891863432808,0
-52.78783578800806,-11.001981694961222,1
-52.66629373006669,-11.001981694961222,0
-52.53819397055124,-11.001981694961222,0
-52.8197259805943,-11.002071526489631,0
-52.71282646178408,-11.002071526489631,0
-52.56101117876788,-11.002071526489631,0
-52.84272285186776,-11.002161358018045,0
-52.735464006943886,-11.002161358018045,1
-52.5942488442803,-11.002161358018045,0
-52.8670671960674,-11.002251189546456,0
-52.758820204331,-11.002251189546456,1
-52.63494252665092,-11.002251189546456,0
-53.31344006074639,-11.00234102107487,-1
-52.78037977114987,-11.00234102107487,1
-52.656771588055015,-11.00234102107487,0
-52.52983963840893,-11.00234102107487,0
-52.81379709971911,-11.00243085260328,0
-52.68911093828332,-11.00243085260328,0
-52.553106004267626,-11.00243085260328,0
-52.83589565570845,-11.002520684131692,0
-52.72863681078458,-11.002520684131692,1
-52.57754017999568,-11.002520684131692,0
-52.862306125061565,-11.002610515660106,0
-52.751723513586455,-11.002610515660106,1
-52.62964246647461,-11.002610515660106,0
-52.8888962574715,-11.002700347188515,0
-52.77930179280892,-11.002700347188515,1
-52.65641226194137,-11.002700347188515,0
-52.533792225659056,-11.002700347188515,0
-52.81739036085559,-11.002790178716928,0
-52.69225504177774,-11.002790178716928,0
-52.55993320042693,-11.002790178716928,0
-52.84514830313488,-11.00288001024534,0
-52.73735046904054,-11.00288001024534,1
-52.59945907292819,-11.00288001024534,0
-52.87101978331752,-11.002969841773751,0
-52.76313211769477,-11.002969841773751,1
-52.64024258682722,-11.002969841773751,0
-52.514747941635726,-11.002969841773751,0
-52.790440902332,-11.003059673302165,1
-52.66827002369175,-11.003059673302165,0
-52.54142790557408,-11.003059673302165,0
-52.82664300828202,-11.003149504830576,0
-52.71911466877291,-11.003149504830576,0
-52.56631123894418,-11.003149504830576,0
-52.85467044514655,-11.003239336358988,0
-52.74426749672826,-11.003239336358988,1
-52.61922200917882,-11.003239336358988,0
-52.882069061312194,-11.0033291678874,0
-52.77040847149614,-11.0033291678874,1
-52.647608772157,-11.0033291678874,0
-52.52085648556773,-11.0033291678874,0
-52.798435908360666,-11.003418999415812,1
-52.67374974692488,-11.003418999415812,0
-52.54825510173338,-11.003418999415812,0
-52.83535666653798,-11.003508830944224,0
-52.72818765314252,-11.003508830944224,1
-52.5829300717004,-11.003508830944224,0
-52.863024777288864,-11.003598662472635,0
-52.7543286279104,-11.003598662472635,1
-52.63251707538379,-11.003598662472635,0
-52.89437598070463,-11.003688494001048,0
-52.7859493259114,-11.003688494001048,1
-52.660634343776735,-11.003688494001048,0
-52.53244475273288,-11.003688494001048,0
-52.82251075797507,-11.00377832552946,0
-52.69881274335181,-11.00377832552946,0
-52.56020269501217,-11.00377832552946,0
-52.85188566776578,-11.003868157057871,0
-52.746243790353326,-11.003868157057871,1
-52.62245594420165,-11.003868157057871,0
-52.88826743677262,-11.003957988586285,0
-52.780469602678274,-11.003957988586285,1
-52.65784956639596,-11.003957988586285,0
-52.53316340496017,-11.003957988586285,0
-52.82331924173078,-11.004047820114696,0
-52.70016021627799,-11.004047820114696,0
-52.5641552822623,-11.004047820114696,0
-52.85610774960114,-11.004137651643108,0
-52.74974721996139,-11.004137651643108,1
-52.628205162020016,-11.004137651643108,0
-52.8896149096988,-11.00422748317152,0
-52.782715390888576,-11.00422748317152,1
-52.65901737626532,-11.00422748317152,0
-52.532085426619226,-11.00422748317152,0
-52.82403789395807,-11.004317314699932,0
-52.69998055322117,-11.004317314699932,0
-52.56388578767706,-11.004317314699932,0
-52.857275559470494,-11.004407146228344,0
-52.75262182887057,-11.004407146228344,1
-52.63188825468491,-11.004407146228344,0
-52.89599294821605,-11.004496977756755,0
-52.79035107080359,-11.004496977756755,1
-52.6701564857884,-11.004496977756755,0
-52.54493133518214,-11.004496977756755,0
-52.83912959073128,-11.004586809285168,0
-52.73501484930183,-11.004586809285168,1
-52.61167616079222,-11.004586809285168,0
-52.8775774848916,-11.00467664081358,0
-52.77202543900756,-11.00467664081358,1
-52.65192068552077,-11.00467664081358,0
-52.5243599151758,-11.00467664081358,0
-52.82026496976477,-11.004766472341991,0
-52.69575847138581,-11.004766472341991,0
-52.56163999946676,-11.004766472341991,0
-52.85835353781144,-11.004856303870405,0
-52.75369980721152,-11.004856303870405,1
-52.63251707538379,-11.004856303870405,0
-52.897609915727465,-11.004946135398816,0
-52.79205786984342,-11.004946135398816,1
-52.6686293498054,-11.004946135398816,0
